receipt number,PD,notice date,days,month
src2190126793,2020-11-25 00:00:00,2021-10-02 00:00:00,311,21-Oct
src2090405850,2020-08-06 00:00:00,2021-10-08 00:00:00,428,21-Oct
src2190116431,2020-11-23 00:00:00,2021-10-08 00:00:00,319,21-Oct
src2090112456,2019-12-04 00:00:00,2021-10-08 00:00:00,674,21-Oct
src2090379023,2020-07-21 00:00:00,2021-10-08 00:00:00,444,21-Oct
src2190078094,2020-10-30 00:00:00,2021-10-08 00:00:00,343,21-Oct
src2190030610,2020-10-26 00:00:00,2021-10-08 00:00:00,347,21-Oct
src2090365698,2020-07-13 00:00:00,2021-10-12 00:00:00,456,21-Oct
src2090164667,2020-02-07 00:00:00,2021-10-12 00:00:00,613,21-Oct
src2190145425,2019-01-29 00:00:00,2021-10-12 00:00:00,987,21-Oct
src2190164741,2021-01-19 00:00:00,2021-10-12 00:00:00,266,21-Oct
src2090393186,2020-07-28 00:00:00,2021-10-12 00:00:00,441,21-Oct
src2190145424,2020-12-09 00:00:00,2021-10-12 00:00:00,307,21-Oct
src2190131836,2020-11-25 00:00:00,2021-10-12 00:00:00,321,21-Oct
src2190145436,2020-12-09 00:00:00,2021-10-13 00:00:00,308,21-Oct
src2190163726,2021-01-19 00:00:00,2021-10-13 00:00:00,267,21-Oct
src2090018283,2019-10-11 00:00:00,2021-10-13 00:00:00,733,21-Oct
src2190138817,2020-11-30 00:00:00,2021-10-13 00:00:00,317,21-Oct
src2190144734,2020-12-09 00:00:00,2021-10-13 00:00:00,308,21-Oct
src2190029828,2020-10-26 00:00:00,2021-10-13 00:00:00,352,21-Oct
src2190163735,2021-01-19 00:00:00,2021-10-13 00:00:00,267,21-Oct
src2190147595,2020-12-14 00:00:00,2021-10-14 00:00:00,304,21-Oct
src2190138815,2020-11-30 00:00:00,2021-10-14 00:00:00,318,21-Oct
src2190138909,2020-11-30 00:00:00,2021-10-14 00:00:00,318,21-Oct
src2190140951,2020-11-30 00:00:00,2021-10-14 00:00:00,318,21-Oct
src2190147600,2020-12-14 00:00:00,2021-10-15 00:00:00,305,21-Oct
src2190121890,2020-11-24 00:00:00,2021-10-15 00:00:00,325,21-Oct
src2090215090,2020-03-17 00:00:00,2021-10-15 00:00:00,577,21-Oct
src2090026828,2019-10-17 00:00:00,2021-10-15 00:00:00,729,21-Oct
src2190149122,2020-12-21 00:00:00,2021-10-15 00:00:00,298,21-Oct
src2190170734,2021-01-26 00:00:00,2021-10-18 00:00:00,265,21-Oct
src2190019409,2020-10-19 00:00:00,2021-10-18 00:00:00,364,21-Oct
src2190165984,2021-01-19 00:00:00,2021-10-18 00:00:00,272,21-Oct
src2190166173,2021-01-19 00:00:00,2021-10-18 00:00:00,272,21-Oct
src2190165983,2021-01-19 00:00:00,2021-10-18 00:00:00,272,21-Oct
src2090039461,2019-10-28 00:00:00,2021-10-18 00:00:00,721,21-Oct
src2190147327,2020-12-14 00:00:00,2021-10-18 00:00:00,308,21-Oct
src2090371420,2020-07-16 00:00:00,2021-10-18 00:00:00,459,21-Oct
src2190147121,2020-12-14 00:00:00,2021-10-18 00:00:00,308,21-Oct
src2190140404,2020-11-27 00:00:00,2021-10-19 00:00:00,326,21-Oct
src2190014883,2020-10-09 00:00:00,2021-10-19 00:00:00,375,21-Oct
src2190147598,2020-12-14 00:00:00,2021-10-19 00:00:00,309,21-Oct
src2190163955,2021-01-19 00:00:00,2021-10-19 00:00:00,273,21-Oct
src2190017265,2020-10-14 00:00:00,2021-10-19 00:00:00,370,21-Oct
src2190164693,2021-01-19 00:00:00,2021-10-19 00:00:00,273,21-Oct
src2190257005,2021-06-24 00:00:00,2021-10-19 00:00:00,117,21-Oct
src2190293398,2021-08-13 00:00:00,2021-10-19 00:00:00,67,21-Oct
src2190073143,2020-10-30 00:00:00,2021-10-19 00:00:00,354,21-Oct
src2090396904,2020-07-30 00:00:00,2021-10-20 00:00:00,447,21-Oct
src2090021139,2019-10-14 00:00:00,2021-10-20 00:00:00,737,21-Oct
src2090320731,2020-06-15 00:00:00,2021-10-20 00:00:00,492,21-Oct
src2190130754,2020-11-04 00:00:00,2021-10-20 00:00:00,350,21-Oct
src2190230506,2021-05-13 00:00:00,2021-10-20 00:00:00,160,21-Oct
src2090467118,2020-09-08 00:00:00,2021-10-20 00:00:00,407,21-Oct
src2190140399,2020-11-27 00:00:00,2021-10-20 00:00:00,327,21-Oct
src2190149109,2020-12-21 00:00:00,2021-10-20 00:00:00,303,21-Oct
src2090304096,2020-04-30 00:00:00,2021-10-21 00:00:00,539,21-Oct
src2190144733,2020-12-09 00:00:00,2021-10-21 00:00:00,316,21-Oct
src2190106535,2020-11-06 00:00:00,2021-10-21 00:00:00,349,21-Oct
src2090476347,2020-09-18 00:00:00,2021-10-21 00:00:00,398,21-Oct
src2190144549,2020-12-09 00:00:00,2021-10-21 00:00:00,316,21-Oct
src2190149190,2020-12-21 00:00:00,2021-10-21 00:00:00,304,21-Oct
src2190184983,2021-02-25 00:00:00,2021-10-21 00:00:00,238,21-Oct
src2190150664,2020-12-21 00:00:00,2021-10-21 00:00:00,304,21-Oct
src2090480559,2020-09-22 00:00:00,2021-10-21 00:00:00,394,21-Oct
src2190146261,2020-12-10 00:00:00,2021-10-21 00:00:00,315,21-Oct
src2090285653,2020-05-18 00:00:00,2021-10-22 00:00:00,522,21-Oct
src2090174199,2020-02-14 00:00:00,2021-10-22 00:00:00,616,21-Oct
src2190127887,2020-11-23 00:00:00,2021-10-22 00:00:00,333,21-Oct
src2190172864,2021-01-29 00:00:00,2021-10-22 00:00:00,266,21-Oct
src2190145856,2020-12-11 00:00:00,2021-10-22 00:00:00,315,21-Oct
src2190130755,2020-11-04 00:00:00,2021-10-25 00:00:00,355,21-Oct
src2190172865,2021-01-29 00:00:00,2021-10-25 00:00:00,269,21-Oct
src2090256619,2020-04-24 00:00:00,2021-10-25 00:00:00,549,21-Oct
src2190136860,2020-11-27 00:00:00,2021-10-25 00:00:00,332,21-Oct
